,Unnamed: 0,title,author,release year,book length,rating,number of ratings
1153,1153,"Collide (Collide, #1)",Gail McHugh,2013,395.0,4.2,64734
1155,1155,"Warprize  (Chronicles of the Warlands, #1)",Elizabeth Vaughan,2005,336.0,3.97,18725
1159,1159,"Rafe (Loose Ends, #1)",Rebekah Weatherspoon,2018,239.0,3.75,7578
1160,1160,Once and for All (Hardcover),Sarah Dessen,2017,358.0,3.76,33164
1161,1161,Swear on This Life (Paperback),Renee Carlino,2016,320.0,4.16,36950
1163,1163,The Fastest Way to Fall (Paperback),Denise  Williams,2021,361.0,4.07,13463
1164,1164,First Comes Scandal (Rokesbys #4),Julia Quinn,2020,277.0,3.83,22463
1165,1165,"Love Only Once (Malory-Anderson Family, #1)",Johanna Lindsey,1985,344.0,4.05,19449
1166,1166,History Is All You Left Me (ebook),Adam Silvera,2017,320.0,3.98,60787
1167,1167,"Holding the Dream (Dream Trilogy, #2)",Nora Roberts,1996,358.0,4.06,22798
1170,1170,"A Brush with Love (A Brush with Love, #1)",Mazey Eddings,2022,336.0,3.78,11464
1171,1171,"Forever My Girl (Beaumont Series, #1)",Heidi McLaughlin,2012,322.0,4.0,51233
1175,1175,"One for the Money (Stephanie Plum, #1)",Janet Evanovich,1994,320.0,4.04,520424
1176,1176,"This Side of the Grave (Night Huntress, #5)",Jeaniene Frost,2011,357.0,4.26,61607
1179,1179,"The Golden Lily (Bloodlines, #2)",Richelle Mead,2012,418.0,4.31,115487
1180,1180,"Chocolat (Chocolat, #1)",Joanne Harris,1999,306.0,3.96,121017
1181,1181,"Shades of Milk and Honey (Glamourist Histories, #1)",Mary Robinette Kowal,2010,208.0,3.49,15908
1182,1182,"Sins & Needles (The Artists Trilogy, #1)",Karina Halle,2013,438.0,3.94,22475
1185,1185,"Wicked (A Wicked Trilogy, #1)",Jennifer L. Armentrout,2014,376.0,3.99,44787
1186,1186,How to Walk Away (Hardcover),Katherine Center,2018,302.0,4.08,67507
1188,1188,"Bright Side (Bright Side, #1)",Kim Holden,2014,423.0,4.33,45290
1191,1191,If This Gets Out (Hardcover),Sophie Gonzales,2021,404.0,4.01,16385
1194,1194,"Desperate Duchesses (Desperate Duchesses, #1)",Eloisa James,2007,384.0,3.67,10631
1196,1196,"It Takes Two to Tumble (Seducing the Sedgwicks, #1)",Cat Sebastian,2017,304.0,3.88,5531
1197,1197,"Pleasure of a Dark Prince (Immortals After Dark, #8)",Kresley Cole,2010,431.0,4.37,43345
1200,1200,Never Let Me Go (Paperback),Kazuo Ishiguro,2005,288.0,3.84,593231
1201,1201,Tess of the D’Urbervilles (Paperback),Thomas Hardy,1891,518.0,3.82,264435
1207,1207,"Minx (The Splendid Trilogy, #3)",Julia Quinn,1996,391.0,3.86,16764
1208,1208,"Restore Me (Shatter Me, #4)",Tahereh Mafi,2018,435.0,4.17,116386
1209,1209,Sparrow (Kindle Edition),L.J. Shen,2016,312.0,4.08,48585
1211,1211,"Perfect (Second Opportunities, #2)",Judith McNaught,1993,704.0,4.3,23473
1212,1212,"Succubus Blues (Georgina Kincaid, #1)",Richelle Mead,2007,343.0,3.94,55857
1213,1213,"Trade Me (Cyclone, #1)",Courtney Milan,2015,279.0,3.75,5305
1214,1214,"Covet (Fallen Angels, #1)",J.R. Ward,2009,474.0,3.91,49252
1215,1215,"The Iron Queen (The Iron Fey, #3)",Julie Kagawa,2011,384.0,4.2,104266
1218,1218,"Finale (Caraval, #3)",Stephanie Garber,2019,478.0,4.21,96804
1219,1219,"Never Never: Part Two (Never Never, #2)",Colleen Hoover,2015,158.0,4.01,55286
1221,1221,"Driven (Driven, #1)",K. Bromberg,2013,320.0,4.26,59370
1223,1223,"Polaris Rising (Consortium Rebellion, #1)",Jessie Mihalik,2019,448.0,3.92,10458
1228,1228,"Hideaway (Devil's Night, #2)",Penelope Douglas,2017,466.0,4.08,58200
1229,1229,"Dancing at Midnight (The Splendid Trilogy, #2)",Julia Quinn,1995,375.0,3.77,15464
1231,1231,"Blameless (Parasol Protectorate, #3)",Gail Carriger,2010,355.0,3.99,39484
1232,1232,The Sweet Gum Tree (Paperback),Katherine Allred,2005,314.0,4.27,29341
1233,1233,"Magic Slays (Kate Daniels, #5)",Ilona Andrews,2011,308.0,4.4,70852
1234,1234,"The Duke Who Didn't (Wedgeford Trials, #1)",Courtney Milan,2020,352.0,3.92,4475
1237,1237,"What I Did for Love (Wynette, Texas, #5)",Susan Elizabeth Phillips,2009,401.0,3.91,18807
1238,1238,The Girl You Left Behind (Paperback),Jojo Moyes,2012,480.0,4.01,153951
1240,1240,"My Favorite Mistake (My Favorite Mistake, #1)",Chelsea M. Cameron,2012,391.0,3.98,55970
1242,1242,"Bombshell (Hell's Belles, #1)",Sarah MacLean,2021,394.0,3.82,8823
1246,1246,"Elements of Chemistry: Attraction (Hypothesis, #1)",Penny Reid,2015,158.0,3.95,22910
