,Unnamed: 0,title,author,release year,book length,rating,number of ratings
292,292,"Heir of Fire (Throne of Glass, #3)",Sarah J. Maas,2014,565.0,4.46,473089
293,293,"The Winner's Curse (The Winner's Trilogy, #1)",Marie Rutkoski,2014,355.0,3.96,105328
295,295,"The Governess Game (Girl Meets Duke, #2)",Tessa Dare,2018,373.0,3.91,27195
296,296,Midnight Sun (Hardcover),Stephenie Meyer,2020,658.0,3.72,194655
297,297,"Empire of Storms (Throne of Glass, #5)",Sarah J. Maas,2016,689.0,4.56,343879
299,299,"Darkfever (Fever, #1)",Karen Marie Moning,2006,309.0,4.06,173720
303,303,The Cheat Sheet (Kindle Edition),Sarah       Adams,2021,306.0,3.76,88916
304,304,"Something Borrowed (Darcy & Rachel, #1)",Emily Giffin,2004,336.0,3.87,548478
306,306,We Were Liars (Kindle Edition),E. Lockhart,2014,242.0,3.73,919633
308,308,I'll Give You the Sun (Hardcover),Jandy Nelson,2014,371.0,4.15,309331
311,311,"It Had to Be You (Chicago Stars, #1)",Susan Elizabeth Phillips,1994,376.0,4.01,64323
313,313,Evvie Drake Starts Over (Hardcover),Linda  Holmes,2019,289.0,3.84,119436
318,318,Today Tonight Tomorrow (Hardcover),Rachel Lynn Solomon,2020,364.0,4.17,45486
319,319,Every Summer After (Paperback),Carley Fortune,2022,313.0,4.34,150232
320,320,"Bed of Roses (Bride Quartet, #2)",Nora Roberts,2009,335.0,4.12,60829
321,321,"Something About You (FBI/US Attorney, #1)",Julie James,2010,307.0,3.94,60302
324,324,Meet Cute (Paperback),Helena Hunting,2019,384.0,3.73,42164
325,325,"The Right Swipe (Modern Love, #1)",Alisha Rai,2019,387.0,3.65,21234
330,330,"We'll Always Have Summer (Summer, #3)",Jenny Han,2011,291.0,3.94,224027
336,336,"The Madness of Lord Ian Mackenzie (Mackenzies & McBrides, #1)",Jennifer Ashley,2009,320.0,4.05,35753
338,338,Heartless (Hardcover),Marissa Meyer,2016,464.0,4.08,151923
343,343,"Lover Enshrined (Black Dagger Brotherhood, #6)",J.R. Ward,2008,560.0,4.11,113315
344,344,"Rhapsodic (The Bargainer, #1)",Laura Thalassa,2016,326.0,3.98,88341
348,348,"The Kiss of Deception (The Remnant Chronicles, #1)",Mary E. Pearson,2014,492.0,3.96,116655
355,355,"Stuck with You (The STEMinist Novellas, #2)",Ali Hazelwood,2022,127.0,3.71,48423
356,356,"Seduce Me at Sunrise (The Hathaways, #2)",Lisa Kleypas,2008,360.0,4.07,39570
357,357,"Ruin and Rising (The Shadow and Bone Trilogy, #3)",Leigh Bardugo,2014,422.0,4.02,414245
358,358,"Happy Ever After (Bride Quartet, #4)",Nora Roberts,2010,333.0,4.18,57059
361,361,"These Violent Delights (These Violent Delights, #1)",Chloe Gong,2020,449.0,3.96,95723
362,362,"Austenland (Austenland, #1)",Shannon Hale,2007,197.0,3.55,86635
